2026-02-24 21:10:32,582 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-24 21:10:33,299 | INFO | DataBase.DataBase | Conexão fechada
2026-02-24 21:10:34,964 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-24 21:10:35,411 | INFO | DataBase.DataBase | Conexão fechada
2026-02-24 21:10:46,165 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-24 21:10:46,669 | INFO | DataBase.DataBase | Conexão fechada
2026-02-24 21:10:49,333 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-24 21:10:49,788 | INFO | DataBase.DataBase | Conexão fechada
2026-02-24 21:11:05,481 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-24 21:11:05,937 | INFO | DataBase.DataBase | Conexão fechada
2026-02-24 21:11:07,554 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-24 21:11:07,876 | INFO | DataBase.DataBase | Conexão fechada
2026-02-24 21:11:09,686 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-24 21:11:10,135 | INFO | DataBase.DataBase | Conexão fechada
2026-02-24 21:11:16,545 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-24 21:11:17,086 | INFO | DataBase.DataBase | Conexão fechada
2026-02-24 21:11:19,153 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-24 21:11:19,524 | INFO | DataBase.DataBase | Conexão fechada
2026-02-24 21:11:25,928 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-24 21:11:26,378 | INFO | DataBase.DataBase | Conexão fechada
