2026-02-25 01:15:03,521 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:15:03,987 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:15:05,525 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:15:05,986 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:15:18,172 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:15:18,626 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:15:20,226 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:15:20,534 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:15:30,087 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:15:30,536 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:16:05,413 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:16:05,867 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:16:08,029 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:16:08,485 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:16:29,400 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:16:29,853 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:16:32,092 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:16:32,541 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:16:45,283 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:16:45,738 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:18:57,288 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:18:57,739 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:18:59,435 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:18:59,732 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:19:04,967 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:19:05,426 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:19:14,817 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:19:15,264 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:19:18,105 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:19:18,563 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:19:35,342 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:19:35,785 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:24:16,399 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:24:16,860 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:24:19,276 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:24:19,573 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:24:24,723 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:24:25,183 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:24:36,005 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:24:36,460 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:24:38,449 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:24:38,889 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:24:42,661 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:24:43,115 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:24:45,219 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:25:25,288 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:25:25,736 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:25:27,632 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:25:27,947 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:25:32,949 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:25:33,394 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:25:46,121 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:25:46,565 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:25:48,314 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:25:49,788 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:25:52,248 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:25:52,744 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:25:55,748 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:30:20,687 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:30:21,259 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:30:25,312 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:30:25,748 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:30:32,525 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:30:32,972 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:30:40,602 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:30:41,063 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:30:43,514 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:30:44,075 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:30:49,971 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:30:50,688 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:30:52,320 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:30:52,770 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:30:54,636 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:30:55,085 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:31:07,514 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:31:07,956 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:31:09,718 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:31:10,015 | INFO | DataBase.DataBase | Conexão fechada
2026-02-25 01:31:14,979 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-25 01:31:15,422 | INFO | DataBase.DataBase | Conexão fechada
