2026-02-23 02:00:22,734 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:00:23,208 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:00:23,208 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:00:24,809 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:00:25,250 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:00:25,251 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:00:35,913 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:00:36,359 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:00:36,360 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:00:37,908 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:00:38,355 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:00:38,355 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:00:39,841 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:00:40,287 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:00:40,287 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:01:32,797 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:01:33,243 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:01:33,243 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:01:34,769 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:01:35,072 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:01:35,072 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:01:36,949 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:01:37,405 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:01:37,406 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:01:52,473 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:01:52,931 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:01:52,932 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:01:54,446 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:01:54,743 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:01:54,744 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:01:57,099 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:01:57,550 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:01:57,551 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:05:21,043 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:05:21,501 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:05:21,502 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:05:22,939 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:05:23,266 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:05:23,267 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:05:24,876 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:05:25,320 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:05:25,321 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:07:00,575 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:07:01,024 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:07:01,025 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:07:02,531 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:07:02,985 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:07:02,985 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:07:36,504 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:07:36,952 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:07:36,953 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:07:38,444 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:07:38,899 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:07:38,900 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:07:40,413 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:07:40,862 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:07:40,862 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:08:01,777 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:08:02,249 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:08:02,250 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:08:03,697 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:08:03,992 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:08:03,993 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:08:05,726 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:08:06,172 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:08:06,173 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:47:49,786 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:47:52,896 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:47:52,896 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:47:57,339 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:47:58,325 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:47:58,325 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:48:06,295 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:48:06,742 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:48:06,743 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:48:10,091 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:48:10,448 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:48:12,216 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:48:12,680 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:48:12,681 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:48:27,015 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:48:27,468 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:48:27,468 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:49:24,924 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:49:25,389 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:49:25,389 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:49:27,335 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:49:27,662 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:49:29,090 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:49:29,547 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:49:29,548 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:49:37,603 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:49:38,063 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:49:38,064 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:49:39,559 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:49:39,882 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:49:41,224 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:49:41,673 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:49:41,674 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:51:14,681 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:51:15,130 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:51:15,131 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:51:16,626 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:51:16,930 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:51:18,342 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:51:18,800 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:51:18,800 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:51:25,095 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:51:25,538 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:51:25,539 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:51:27,022 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:51:27,331 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:51:28,693 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:51:29,148 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:51:29,148 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:55:13,995 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:55:14,483 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:55:14,483 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:55:16,124 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:55:16,476 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:55:18,360 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:55:18,818 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:55:18,819 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:55:25,644 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:55:26,097 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 02:55:26,098 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 02:55:27,763 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 02:55:28,069 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 03:04:08,722 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 03:04:09,259 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 03:04:09,259 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 03:04:11,980 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 03:04:12,296 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 03:04:13,734 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 03:04:14,176 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 03:04:14,177 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 03:04:47,851 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 03:04:48,303 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 03:04:48,304 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 03:04:49,822 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 03:04:50,124 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 03:04:51,591 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 03:04:52,050 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 03:04:52,051 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 03:04:59,398 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 03:04:59,851 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 03:04:59,851 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 03:05:01,373 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 03:05:01,681 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 03:05:55,811 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 03:05:56,259 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 03:05:56,259 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 03:05:57,705 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 03:05:58,014 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 03:06:02,873 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-23 03:06:03,334 | INFO | DataBase.DataBase | Cursor fechado
2026-02-23 03:06:03,335 | INFO | DataBase.DataBase | Conexão fechada
2026-02-23 03:08:47,188 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
